2025-11-14 15:21:20 | INFO | item.x shape = torch.Size([3391, 8])
2025-11-14 15:21:31 | INFO | Starting full preprocessing pipeline...
2025-11-14 15:21:31 | INFO | Building interactions DataFrame...
2025-11-14 15:21:31 | INFO | Saved interactions → data/processed/interactions.parquet
2025-11-14 15:21:31 | INFO | Saved mappings → data/processed/mappings.pkl
2025-11-14 15:21:31 | INFO | Finished parse_raw.
2025-11-14 15:21:31 | INFO | Loaded interactions: 70922
2025-11-14 15:21:33 | INFO | Saved user features to data/processed/user_features.parquet
2025-11-14 15:21:33 | INFO | Saved item features to data/processed/item_features.parquet
2025-11-14 15:21:33 | INFO | Preprocessing pipeline finished.
2025-11-14 15:21:33 | INFO | Building heterogenous bipartite graph...
2025-11-14 15:21:33 | INFO | Loading processed interaction and feature files..
2025-11-14 15:21:33 | INFO | Loaded 70,922 interactions.
2025-11-14 15:21:33 | INFO | Users: 60,144 | Items: 3,391
2025-11-14 15:21:33 | INFO | user.x shape = torch.Size([60144, 8])
2025-11-14 15:21:33 | INFO | item.x shape = torch.Size([3391, 8])
2025-11-14 15:22:08 | INFO | Starting full preprocessing pipeline...
2025-11-14 15:22:08 | INFO | Building interactions DataFrame...
2025-11-14 15:22:09 | INFO | Saved interactions → data/processed/interactions.parquet
2025-11-14 15:22:09 | INFO | Saved mappings → data/processed/mappings.pkl
2025-11-14 15:22:09 | INFO | Finished parse_raw.
2025-11-14 15:22:09 | INFO | Loaded interactions: 70922
2025-11-14 15:22:11 | INFO | Saved user features to data/processed/user_features.parquet
2025-11-14 15:22:11 | INFO | Saved item features to data/processed/item_features.parquet
2025-11-14 15:22:11 | INFO | Preprocessing pipeline finished.
2025-11-14 15:22:11 | INFO | Building heterogenous bipartite graph...
2025-11-14 15:22:11 | INFO | Loading processed interaction and feature files..
2025-11-14 15:22:11 | INFO | Loaded 70,922 interactions.
2025-11-14 15:22:11 | INFO | Users: 60,144 | Items: 3,391
2025-11-14 15:22:11 | INFO | user.x shape = torch.Size([60144, 8])
2025-11-14 15:22:11 | INFO | item.x shape = torch.Size([3391, 8])
2025-11-14 15:23:04 | INFO | Starting full preprocessing pipeline...
2025-11-14 15:23:04 | INFO | Building interactions DataFrame...
2025-11-14 15:23:04 | INFO | Saved interactions → data/processed/interactions.parquet
2025-11-14 15:23:04 | INFO | Saved mappings → data/processed/mappings.pkl
2025-11-14 15:23:04 | INFO | Finished parse_raw.
2025-11-14 15:23:04 | INFO | Loaded interactions: 70922
2025-11-14 15:23:06 | INFO | Saved user features to data/processed/user_features.parquet
2025-11-14 15:23:06 | INFO | Saved item features to data/processed/item_features.parquet
2025-11-14 15:23:06 | INFO | Preprocessing pipeline finished.
2025-11-14 15:23:06 | INFO | Building heterogenous bipartite graph...
2025-11-14 15:23:06 | INFO | Loading processed interaction and feature files..
2025-11-14 15:23:06 | INFO | Loaded 70,922 interactions.
2025-11-14 15:23:06 | INFO | Users: 60,144 | Items: 3,391
2025-11-14 15:23:06 | INFO | user.x shape = torch.Size([60144, 8])
2025-11-14 15:23:06 | INFO | item.x shape = torch.Size([3391, 8])
2025-11-14 15:23:11 | INFO | Starting full preprocessing pipeline...
2025-11-14 15:23:11 | INFO | Building interactions DataFrame...
2025-11-14 15:23:12 | INFO | Saved interactions → data/processed/interactions.parquet
2025-11-14 15:23:12 | INFO | Saved mappings → data/processed/mappings.pkl
2025-11-14 15:23:12 | INFO | Finished parse_raw.
2025-11-14 15:23:12 | INFO | Loaded interactions: 70922
2025-11-14 15:23:14 | INFO | Saved user features to data/processed/user_features.parquet
2025-11-14 15:23:14 | INFO | Saved item features to data/processed/item_features.parquet
2025-11-14 15:23:14 | INFO | Preprocessing pipeline finished.
2025-11-14 15:23:14 | INFO | Building heterogenous bipartite graph...
2025-11-14 15:23:14 | INFO | Loading processed interaction and feature files..
2025-11-14 15:23:14 | INFO | Loaded 70,922 interactions.
2025-11-14 15:23:14 | INFO | Users: 60,144 | Items: 3,391
2025-11-14 15:23:14 | INFO | user.x shape = torch.Size([60144, 8])
2025-11-14 15:23:14 | INFO | item.x shape = torch.Size([3391, 8])
2025-11-14 15:23:28 | INFO | Starting full preprocessing pipeline...
2025-11-14 15:23:28 | INFO | Building interactions DataFrame...
2025-11-14 15:23:29 | INFO | Saved interactions → data/processed/interactions.parquet
2025-11-14 15:23:29 | INFO | Saved mappings → data/processed/mappings.pkl
